entity_id,entity_type,url,label,description,source_domain,thumbnail_url,provider,date,declared_at,harvested_at,harvest_path
779c785edd5377e0c9b0024f3aefad84,record,https://digitalgallery.bgsu.edu/collections/item/33402,Jazz Week: Vocal Jazz,,digitalgallery.bgsu.edu,https://digitalgallery.bgsu.edu/files/thumbnails/8d58166818951b4174f52bdc8ab77f73.jpg,Ohio Digital Network,2016-03-15,,2026-05-21T17:44:28Z,api_dpla
7441a526a5eb5afcfe6c6914cff55f5b,record,https://digitalgallery.bgsu.edu/collections/item/33370,Jazz Week: Jazz Faculty,,digitalgallery.bgsu.edu,https://digitalgallery.bgsu.edu/files/thumbnails/9d24a739eebefe857a6c800694b8a1ae.jpg,Ohio Digital Network,2016-03-16,,2026-05-21T17:44:28Z,api_dpla
f023d71c14d5f830e88ca35eeff79e6d,record,http://www.moma.org/collection/works/86856,Jazz,,www.moma.org,http://www.moma.org/media/W1siZiIsIjE2OTE0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ea01195cf62af167,Empire State Digital Network,2001,,2026-05-21T17:44:28Z,api_dpla
2aea8e4e263a205860d4f4c01d38b6fc,record,http://www.moma.org/collection/works/7631,Jazz,,www.moma.org,http://www.moma.org/media/W1siZiIsIjE0MzgwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8f31c6e4ec518ecf,Empire State Digital Network,c. 1950,,2026-05-21T17:44:28Z,api_dpla
53f8ea57abe8f96a901702b15a96f53e,record,http://catalog.hathitrust.org/Record/008004462,Jazz,Jazz--Discography,catalog.hathitrust.org,https://books.google.com/books/content?id=7qYwAQAAIAAJ&printsec=frontcover&img=1&zoom=5,HathiTrust,[1963],,2026-05-21T17:44:28Z,api_dpla
6c9f2a94b13a21671aa38828ea26856c,record,https://calisphere.org/item/56394831-9370-4961-8b51-9588b4c6820c,Jazz,Jazz,calisphere.org,https://thumbnails.calisphere.org/clip/150x150/955f3098f8bf3111402a83bfa6095fae,California Digital Library,1954,,2026-05-21T17:44:28Z,api_dpla
a237875fbe4fec1727b348bc8a7346c9,record,https://5008.sydneyplus.com/HistoryColorado_ArgusNet_Final/Portal/Portal.aspx?component=AAFG&record=388934D5-4C5D-4951-91EE-B87BCB95E170,Jazz,Shot glass,5008.sydneyplus.com,http://5008.sydneyplus.com/HistoryColorado_ArgusNet_Final/ViewImage.aspx?template=Image&field=DerivedIma&hash=0826E7B2696BF9F6E0F77C1B95DA3CB5,Plains to Peaks Collective,2020,,2026-05-21T17:44:28Z,api_dpla
368519d53332295393c11a48d5e5c1ed,record,https://n2t.net/ark:/65665/ng49ca746a8-e631-704b-e053-15f76fa0b4fa,Jazz,Alfredo Ramon,n2t.net,https://ids.si.edu/ids/deliveryService?id=NMAH-NMAH2002-09740&max=150,Smithsonian Institution,2002,,2026-05-21T17:44:28Z,api_dpla
7cdace405b09a20df0fb99bbcb4dc107,record,http://hdl.handle.net/10217/42501,Jazz,Concert posters,hdl.handle.net,http://cdm17393.contentdm.oclc.org/utils/getthumbnail/collection/p17393coll64/id/3274,Plains to Peaks Collective,2000,,2026-05-21T17:44:28Z,api_dpla
5554d79a36f10fcdef558fc1efa69c04,record,http://hdl.handle.net/10217/41893,Jazz,Concert posters,hdl.handle.net,http://cdm17393.contentdm.oclc.org/utils/getthumbnail/collection/p17393coll64/id/2479,Plains to Peaks Collective,2008,,2026-05-21T17:44:28Z,api_dpla
