entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
ld1-1646149545906-1646150206942-2,when,date,1980s,WHEN|date|1980s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1970s,WHEN|date|1970s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1920s,WHEN|date|1920s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1910s,WHEN|date|1910s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1940s,WHEN|date|1940s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,2000s,WHEN|date|2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1930s,WHEN|date|1930s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1900s,WHEN|date|1900s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1990s,WHEN|date|1990s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1960s,WHEN|date|1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1950s,WHEN|date|1950s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1980s,WHEN|date|1980s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,when,date,1970s,WHEN|date|1970s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149971386-0,when,date,2010s,WHEN|date|2010s,web_declaration_v1,1.0.0
