entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
feel_like_making_shrub:8894769633282015214,how,source_url,https://bringmeashrub.blogspot.com/2014/12/mxmo-xcii-apples-dr-luther.html,HOW|source_url|https://bringmeashrub.blogspot.com/2014/12/mxmo-xcii-apples-dr-luther.html,web_declaration_v1,1.0.0
feel_like_making_shrub:8894769633282015214,how,harvest_path,rss,HOW|harvest_path|rss,web_declaration_v1,1.0.0
feel_like_making_shrub:8894769633282015214,how,metadata_model,Feel Like Making Shrub,HOW|metadata_model|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:319252012517983696,how,source_url,https://bringmeashrub.blogspot.com/2014/11/mxmo-xci-shims-owl-creek.html,HOW|source_url|https://bringmeashrub.blogspot.com/2014/11/mxmo-xci-shims-owl-creek.html,web_declaration_v1,1.0.0
feel_like_making_shrub:319252012517983696,how,harvest_path,rss,HOW|harvest_path|rss,web_declaration_v1,1.0.0
feel_like_making_shrub:319252012517983696,how,metadata_model,Feel Like Making Shrub,HOW|metadata_model|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:1920799588800369121,how,source_url,https://bringmeashrub.blogspot.com/2014/11/shrub-22-ambrose-and-fox-in-snow.html,HOW|source_url|https://bringmeashrub.blogspot.com/2014/11/shrub-22-ambrose-and-fox-in-snow.html,web_declaration_v1,1.0.0
feel_like_making_shrub:1920799588800369121,how,harvest_path,rss,HOW|harvest_path|rss,web_declaration_v1,1.0.0
feel_like_making_shrub:1920799588800369121,how,metadata_model,Feel Like Making Shrub,HOW|metadata_model|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:665152429280042290,how,source_url,https://bringmeashrub.blogspot.com/2014/10/the-hard-stuff-les-brers.html,HOW|source_url|https://bringmeashrub.blogspot.com/2014/10/the-hard-stuff-les-brers.html,web_declaration_v1,1.0.0
feel_like_making_shrub:665152429280042290,how,harvest_path,rss,HOW|harvest_path|rss,web_declaration_v1,1.0.0
feel_like_making_shrub:665152429280042290,how,metadata_model,Feel Like Making Shrub,HOW|metadata_model|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:3234182737768169797,how,source_url,https://bringmeashrub.blogspot.com/2014/10/book-review-shrubs-old-fashioned-drink_8.html,HOW|source_url|https://bringmeashrub.blogspot.com/2014/10/book-review-shrubs-old-fashioned-drink_8.html,web_declaration_v1,1.0.0
feel_like_making_shrub:3234182737768169797,how,harvest_path,rss,HOW|harvest_path|rss,web_declaration_v1,1.0.0
feel_like_making_shrub:3234182737768169797,how,metadata_model,Feel Like Making Shrub,HOW|metadata_model|Feel Like Making Shrub,web_declaration_v1,1.0.0
