entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
feel_like_making_shrub:2159288522360361176,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:2159288522360361176,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:2672119606907324524,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:2672119606907324524,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:6747272451036494811,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:6747272451036494811,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:3925957438307229690,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:3925957438307229690,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
779c785edd5377e0c9b0024f3aefad84,who,data_provider,Bowling Green State University Libraries,WHO|data_provider|Bowling Green State University Libraries,web_declaration_v1,1.0.0
779c785edd5377e0c9b0024f3aefad84,who,provider,Ohio Digital Network,WHO|provider|Ohio Digital Network,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,who,data_provider,Bowling Green State University Libraries,WHO|data_provider|Bowling Green State University Libraries,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,who,provider,Ohio Digital Network,WHO|provider|Ohio Digital Network,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,who,data_provider,The Museum of Modern Art (MoMA),WHO|data_provider|The Museum of Modern Art (MoMA),web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,who,provider,Empire State Digital Network,WHO|provider|Empire State Digital Network,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,who,creator,Elizabeth Murray,WHO|creator|Elizabeth Murray,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,who,data_provider,The Museum of Modern Art (MoMA),WHO|data_provider|The Museum of Modern Art (MoMA),web_declaration_v1,1.0.0
